Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Cluster
Spider-Man: No Way Home,"peter parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. when he asks for help from doctor strange the stakes become even more dangerous, forcing him to discover what it truly means to be spider-man.",5083.954,8940,8.3,en,action,-1
The Batman,"in his second year of fighting crime, batman uncovers corruption in gotham city that connects to his own family while facing a serial killer known as the riddler.",3827.658,1151,8.1,en,crime,-1
No Exit,"stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",2618.087,122,6.3,en,thriller,-1
Encanto,"the tale of an extraordinary family, the madrigals, who live hidden in the mountains of colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an encanto. the magic of the encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, mirabel. but when she discovers that the magic surrounding the encanto is in danger, mirabel decides that she, the only ordinary madrigal, might just be her exceptional family's last hope.",2402.201,5076,7.7,en,animation,-1
The King's Man,"as a collection of history's worst tyrants and criminal masterminds gather to plot a war to wipe out millions, one man must race against time to stop them.",1895.511,1793,7.0,en,action,-1
The Commando,"an elite dea agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. they soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.",1750.484,33,6.6,en,action,-1
Scream,"twenty-five years after a streak of brutal murders shocked the quiet town of woodsboro, a new killer has donned the ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",1675.161,821,6.8,en,horror,-1
Kimi,"a tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. seeking justice, she must do the thing she fears the most: she must leave her apartment.",1601.782,206,6.3,en,thriller,-1
Fistful of Vengeance,a revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin kai tracks a killer to bangkok.,1594.013,114,5.3,en,action,-1
Eternals,"the eternals are a team of ancient aliens who have been living on earth in secret for thousands of years. when an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the deviants.",1537.406,4726,7.2,en,science fiction,-1
Pursuit,"detective breslin crosses paths with calloway, a ruthless hacker desperate to find his wife, who has been kidnapped by a drug cartel. when calloway escapes police custody, breslin joins forces with a no-nonsense female cop to reclaim his prisoner. but is calloway’s crime-boss father somehow involved in this explosive situation?",1500.523,16,5.9,en,action,-1
